file,chat_read,chat_respond,chatbadges,profile_image,timestamp,donations,viewer_counts,consolidated_with_source_common
tradingview.js,yes,yes,yes,yes,no,yes,no,no
trovo.js,yes,yes,yes,yes,no,yes,no,no
truffle.js,yes,yes,yes,yes,no,yes,no,no
twitcasting.js,yes,yes,yes,yes,no,yes,no,no
twitch.js,yes,yes,yes,yes,no,yes,yes,no
uscreen.js,yes,yes,yes,yes,no,yes,no,no
vaughn.js,yes,yes,yes,yes,no,yes,no,yes
vdoninja.js,yes,yes,yes,yes,no,yes,no,no
velora.js,yes,yes,yes,yes,no,yes,yes,no
vercel.js,no,no,no,no,no,no,no,no
verticalpixelzone.js,yes,yes,yes,yes,no,yes,no,no
vimeo.js,yes,yes,yes,yes,no,yes,no,no
vklive.js,yes,yes,yes,yes,no,yes,no,no
vkplay.js,yes,yes,yes,yes,no,yes,no,no
vkvideo.js,yes,yes,yes,yes,no,yes,yes,no
vpzone.js,yes,yes,yes,yes,no,yes,no,yes
wavevideo.js,yes,no,no,yes,no,yes,no,no
webex.js,yes,yes,yes,yes,yes,yes,no,no
webinargeek.js,yes,yes,yes,yes,no,yes,no,no
whatnot.js,yes,yes,yes,yes,no,yes,no,no
whatsapp.js,yes,yes,yes,yes,no,yes,no,no
whop.js,yes,yes,yes,yes,no,yes,yes,no
wix.js,yes,yes,yes,yes,no,yes,no,no
wix2.js,yes,yes,yes,yes,no,yes,no,no
workplace.js,yes,yes,yes,yes,no,yes,no,no
wtv.js,yes,yes,yes,yes,no,yes,no,yes
x.js,yes,yes,yes,yes,yes,yes,yes,no
xeenon.js,yes,yes,no,yes,no,yes,yes,no
younow.js,yes,yes,yes,yes,no,yes,yes,no
youtube.js,yes,yes,yes,yes,no,yes,yes,no
youtube_comments.js,yes,yes,yes,yes,no,yes,no,no
zapstream.js,yes,yes,yes,yes,no,yes,no,no
zoom.js,yes,yes,yes,yes,no,yes,no,no
zora.js,yes,yes,yes,yes,no,yes,no,yes
